draw_no,draw_date,winning_number,digit1,digit2,digit3,digit4,straight_payout,box_payout,set_straight_payout,set_box_payout
269,1997-06-27,0628,0,6,2,8,473700,19700,246700,9800
270,1997-07-01,6023,6,0,2,3,849900,35400,442600,17700
271,1997-07-04,3730,3,7,3,0,993100,82700,537900,41300
272,1997-07-08,0613,0,6,1,3,602400,25100,313700,12500
273,1997-07-11,2992,2,9,9,2,1421300,236800,829000,118400
274,1997-07-15,1026,1,0,2,6,242600,10100,126300,5000
275,1997-07-18,0800,0,8,0,0,1681100,420200,1050600,210100
276,1997-07-22,0576,0,5,7,6,2007000,83600,1045300,41800
277,1997-07-25,0999,0,9,9,9,664300,166000,415100,83000
278,1997-07-29,9303,9,3,0,3,1095600,91300,593400,45600
279,1997-08-01,0178,0,1,7,8,917400,38200,477800,19100
280,1997-08-05,2937,2,9,3,7,1117200,46500,581800,23200
281,1997-08-08,4834,4,8,3,4,1216500,101300,658900,50600
282,1997-08-12,8882,8,8,8,2,1612700,403100,1007900,201500
283,1997-08-15,8106,8,1,0,6,1117900,46500,582200,23200
284,1997-08-19,5086,5,0,8,6,975900,40600,508200,20300
285,1997-08-22,0295,0,2,9,5,1304400,54300,679300,27100
286,1997-08-26,6670,6,6,7,0,811300,67600,439400,33800
287,1997-08-29,1689,1,6,8,9,1175500,48900,612200,24400
288,1997-09-02,2867,2,8,6,7,1197200,49800,623500,24900
289,1997-09-05,6254,6,2,5,4,1106700,46100,576400,23000
290,1997-09-09,2990,2,9,9,0,908300,75600,491900,37800
291,1997-09-12,7264,7,2,6,4,976100,40600,508300,20300
292,1997-09-16,3009,3,0,0,9,1109700,92400,601000,46200
293,1997-09-19,8289,8,2,8,9,1365100,113700,739400,56800
294,1997-09-23,8516,8,5,1,6,1040100,43300,541700,21600
295,1997-09-26,2814,2,8,1,4,854500,35600,445000,17800
296,1997-09-30,6809,6,8,0,9,866900,36100,451500,18000
297,1997-10-03,9041,9,0,4,1,583500,24300,303900,12100
298,1997-10-06,9472,9,4,7,2,1140300,47500,593900,23700
299,1997-10-08,2565,2,5,6,5,1230600,102500,666500,51200
300,1997-10-10,1116,1,1,1,6,441000,110200,275600,55100
301,1997-10-13,7554,7,5,5,4,1283000,106900,694900,53400
302,1997-10-15,5049,5,0,4,9,833900,34700,434300,17300
303,1997-10-17,5090,5,0,9,0,853900,71100,462500,35500
304,1997-10-20,6444,6,4,4,4,1801200,450300,1125700,225100
305,1997-10-22,7227,7,2,2,7,640600,106700,373600,53300
306,1997-10-24,6279,6,2,7,9,1118700,46600,582600,23300
307,1997-10-27,4014,4,0,1,4,732900,61000,396900,30500
308,1997-10-29,1879,1,8,7,9,1364500,56800,710600,28400
309,1997-10-31,6418,6,4,1,8,908000,37800,472900,18900
310,1997-11-03,7215,7,2,1,5,883300,36800,460000,18400
311,1997-11-05,8466,8,4,6,6,1370200,114100,742100,57000
312,1997-11-07,2796,2,7,9,6,1056400,44000,550200,22000
313,1997-11-10,4821,4,8,2,1,861600,35900,448700,17900
314,1997-11-12,5118,5,1,1,8,960700,80000,520300,40000
315,1997-11-14,9989,9,9,8,9,883100,220700,551900,110300
316,1997-11-17,0535,0,5,3,5,1433900,119400,776600,59700
317,1997-11-19,1650,1,6,5,0,990200,41200,515700,20600
318,1997-11-21,3614,3,6,1,4,776500,32300,404400,16100
319,1997-11-24,7312,7,3,1,2,834000,34700,434300,17300
320,1997-11-26,0552,0,5,5,2,1514100,126100,820100,63000
321,1997-11-28,5913,5,9,1,3,948400,39500,493900,19700
322,1997-12-01,7178,7,1,7,8,1169600,97400,633500,48700
323,1997-12-03,7592,7,5,9,2,1060000,44100,552000,22000
324,1997-12-05,0354,0,3,5,4,1374300,57200,715700,28600
325,1997-12-08,1035,1,0,3,5,616800,25700,321200,12800
326,1997-12-10,9759,9,7,5,9,1680900,140000,910400,70000
327,1997-12-12,1662,1,6,6,2,1316400,109700,713000,54800
328,1997-12-15,2919,2,9,1,9,1032200,86000,559100,43000
329,1997-12-17,3701,3,7,0,1,822900,34200,428500,17100
330,1997-12-19,7499,7,4,9,9,1948700,162300,1055500,81100
331,1997-12-22,2055,2,0,5,5,916200,76300,496200,38100
332,1997-12-24,6460,6,4,6,0,1280100,106600,693300,53300
333,1997-12-26,2042,2,0,4,2,1011600,84300,547900,42100
334,1997-12-29,3776,3,7,7,6,658900,54900,356900,27400
335,1998-01-05,9750,9,7,5,0,1229400,51200,640300,25600
